kode,kategori,uraian,satuan,harga_satuan,tahun,kota,sumber
8.1.02.02.01.0016,upah_tenaga,Pembantu Juru Ukur,Orang/Jam,19500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Pembantu Juru Ukur,Orang/Hari,161000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Pembantu Juru Bor,Orang/Jam,19500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Pembantu Juru Bor,Orang/Hari,136500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Operator,Orang/Jam,23000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Operator Alat Berat,Orang/Hari,161000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Pembantu Operator,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Pembantu Operator,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Kernet,Orang/Hari,136500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Ahli Pengukuran,M1,5000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Pengelasan,Cm,4902,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Driver Hammer 1 Ton,Jam,150000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Driver Hammer 2 Ton,Jam,150000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Driver Hammer 3 Ton,Jam,150000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Petugas K3 Konstruksi,Orang/Bulan,3000000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Petugas Pengatur Lalu Lintas,Orang/Hari,130000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Upah Cutting Laser ACP,Ls,220000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Upah Las ACP,Ls,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
